Join_Count,TARGET_FID,TransectID,rate_1315,rate_1325,rate_1520,rate_2025,stat_1315,stat_1325,stat_1520,stat_2025,OBJECTID_1,Transect_1,epoch,rate_m_yr,status,pointid,popdens_ra,Shape_Leng,NEAR_FID,dist_to_bu,n_veg,n_water,n_urban_di,n_popdens,elev_m,n_elev,CVI,CVI_class
1,0,0.00000000000,-5.42711650431,-1.38181651449,0.36921944681,-1.94047739894,retreating,retreating,stable,retreating,0,0,2013-2025,-2.24758030800,retreating,41240,22.51340000000,199.99997516300,40602,7.42436717622,0.87597413619,0.90651987634,0.22860189205,0.88397158240,6.26950600000,0.36571666404,3.78893107799,High
1,1,1.00000000000,-3.29425443614,-0.90399357908,0.15935822955,-0.96353622437,retreating,retreating,stable,retreating,0,1,2013-2025,-2.42636720900,retreating,41658,8.25819000000,200.00001776800,40537,1.52543370079,0.82034199470,0.93107893467,0.84150613208,0.32188062645,5.53072000000,0.27578180474,3.72419614680,High
1,2,2.00000000000,-6.93757609039,-1.34290496252,-2.25607092414,-0.55338213801,retreating,retreating,retreating,retreating,0,2,2013-2025,-2.02799921900,retreating,41239,20.42400000000,199.99999652300,40537,0.00000000000,0.87144372795,0.87635712535,1.00000000000,0.80158538422,7.93502900000,0.56846627848,4.34807942116,Very High
1,3,3.00000000000,-5.68747670667,-0.71752820293,-1.80403895210,0.08792396754,retreating,retreating,retreating,stable,0,3,2013-2025,-1.98200178200,retreating,41657,7.37091000000,199.99996722000,44073,0.00000000000,0.79863213646,0.87003868853,1.00000000000,0.28689467448,7.85892200000,0.55920152206,3.90051441952,High
1,4,4.00000000000,-8.70797050977,-1.09946636067,-1.63602055289,0.12597444452,retreating,retreating,retreating,stable,0,4,2013-2025,-2.19652209200,retreating,41238,6.97529000000,199.99999099700,40770,0.00000000000,0.84310057039,0.89950626573,1.00000000000,0.27129514037,8.57036400000,0.64580770594,4.01983532365,High
1,5,5.00000000000,-11.52608252650,-0.87096955643,1.37959534731,-0.96002849561,retreating,retreating,advancing,retreating,0,5,2013-2025,-2.33043418400,retreating,42064,0.41659300000,199.99993463400,44073,0.00000000000,0.81649706185,0.91790109701,1.00000000000,0.01268201289,6.82404600000,0.43322264936,3.70040479443,High
1,6,6.00000000000,-11.54507431760,-0.90247836967,1.98468741968,-1.74824899256,retreating,retreating,advancing,retreating,0,6,2013-2025,-2.07365240700,retreating,41237,3.82989000000,199.99995008300,40601,1.89750103120,0.82016558135,0.88262827442,0.80284801781,0.14727024609,6.99525600000,0.45406460800,3.64475025931,High
1,7,7.00000000000,-11.66927514640,-0.96331191748,1.84702825020,-1.93898585547,retreating,retreating,advancing,retreating,0,7,2013-2025,-2.00998319200,retreating,42063,0.84580300000,200.00003919900,40635,1.98404208350,0.82724833165,0.87388235424,0.79385632836,0.02960600751,6.70872300000,0.41918399976,3.53869030402,High
1,8,8.00000000000,-6.73452317244,-0.86154712481,1.86333922377,-2.43351531776,retreating,retreating,advancing,retreating,0,8,2013-2025,-1.66159634400,retreating,41654,3.33841000000,199.99994372800,40685,0.51436783878,0.81540002357,0.82602620328,0.94655674104,0.12789090716,6.48597400000,0.39206802847,3.63831351870,High
1,9,9.00000000000,-9.05249393669,-0.21991284957,3.69867130393,-1.51286731840,retreating,stable,advancing,retreating,0,9,2013-2025,-1.73883290800,retreating,42062,0.89414700000,200.00006860100,44073,1.51436811380,0.74069559618,0.83663580203,0.84265585605,0.03151223707,6.13241300000,0.34902788046,3.39641922277,Moderate
1,10,10.00000000000,-6.28159394034,-0.33601711727,2.13973863747,-1.07458402215,retreating,stable,advancing,retreating,0,10,2013-2025,-1.53501474800,retreating,41653,2.22262000000,199.99998799000,44073,2.33934736460,0.75421342584,0.80863832541,0.75693980537,0.08389468042,6.03021700000,0.33658722392,3.35857633803,Moderate
1,11,11.00000000000,-5.32096638895,-0.85648492301,1.19905157628,-2.05486172687,retreating,retreating,advancing,retreating,0,11,2013-2025,-1.59494274100,retreating,42061,0.51500500000,200.00004776900,40768,1.18440947710,0.81481063971,0.81687033272,0.87693884098,0.01656245401,6.91971000000,0.44486814397,3.53846621104,High
1,12,12.00000000000,-5.03282435056,-0.55954653451,1.63668651664,-1.56126367929,retreating,retreating,advancing,retreating,0,12,2013-2025,-1.64167707300,retreating,42061,0.51500500000,199.99998591400,40536,1.30473892080,0.78023858965,0.82328999310,0.86443650873,0.01656245401,6.64767000000,0.41175181647,3.47441080037,High
1,13,13.00000000000,-4.89280675859,-0.84618352097,1.60212043713,-2.10784459330,retreating,retreating,advancing,retreating,0,13,2013-2025,-1.26601161000,retreating,42061,0.51500500000,199.99998826000,40579,1.67576651750,0.81361126435,0.77168671586,0.82588642368,0.01656245401,7.13498000000,0.47107367190,3.47964055302,High
1,14,14.00000000000,-3.54473582993,-1.18366359037,1.25318438627,-2.46342358311,retreating,retreating,advancing,retreating,0,14,2013-2025,-1.62036558100,retreating,42061,0.51500500000,199.99999827300,40734,6.25267750470,0.85290351589,0.82036254052,0.35034145237,0.01656245401,6.33904500000,0.37418187613,3.18626712537,Moderate
