TransectID,veg_type,rate_m_yr,group
0,Built-up,-1.1090126913061913,Built-up
1,Built-up,-0.7495542908962094,Built-up
2,Degraded Vegetation,-0.9881881988137248,Degraded Vegetation
3,Built-up,-0.4263092991270411,Built-up
4,Degraded Vegetation,-0.8614046371863708,Degraded Vegetation
5,Degraded Vegetation,-0.5558041624709661,Degraded Vegetation
6,Degraded Vegetation,-0.8625764125511703,Degraded Vegetation
7,Degraded Vegetation,-0.7774449392709162,Degraded Vegetation
8,Degraded Vegetation,-0.8903955301171047,Degraded Vegetation
10,Healthy Vegetation,-0.3085967881615337,Healthy Vegetation
11,Degraded Vegetation,-0.6698711024792876,Degraded Vegetation
12,Healthy Vegetation,-0.3883890192380999,Healthy Vegetation
13,Healthy Vegetation,-0.5858020129475681,Healthy Vegetation
14,Healthy Vegetation,-0.7771992949214822,Healthy Vegetation
15,Degraded Vegetation,-1.0789952235795852,Degraded Vegetation
16,Degraded Vegetation,-1.987322805663292,Degraded Vegetation
17,Degraded Vegetation,-1.305771960209597,Degraded Vegetation
18,Degraded Vegetation,-0.3175863683200791,Degraded Vegetation
19,Degraded Vegetation,-0.3003183150197385,Degraded Vegetation
20,Degraded Vegetation,-0.6925602898697882,Degraded Vegetation
21,Degraded Vegetation,-0.7844380844295962,Degraded Vegetation
22,Degraded Vegetation,-0.7475771443154969,Degraded Vegetation
23,Degraded Vegetation,-0.3458420102682094,Degraded Vegetation
24,Healthy Vegetation,-0.6590047745661793,Healthy Vegetation
25,Healthy Vegetation,-0.4152543251881571,Healthy Vegetation
26,Degraded Vegetation,-0.5848740516163529,Degraded Vegetation
27,Degraded Vegetation,-0.6658281969305102,Degraded Vegetation
28,Degraded Vegetation,-0.941794622925494,Degraded Vegetation
29,Degraded Vegetation,-0.6171672414623561,Degraded Vegetation
30,Degraded Vegetation,-0.9342842000659513,Degraded Vegetation
31,Degraded Vegetation,-1.2078654193127076,Degraded Vegetation
32,Degraded Vegetation,-0.9936967121131012,Degraded Vegetation
33,Degraded Vegetation,-1.3574350091338372,Degraded Vegetation
34,Healthy Vegetation,-0.914861467284799,Healthy Vegetation
35,Healthy Vegetation,-0.2871654739047717,Healthy Vegetation
36,Healthy Vegetation,-0.6519010791573223,Healthy Vegetation
37,Healthy Vegetation,-0.8022659341441328,Healthy Vegetation
38,Degraded Vegetation,-1.0785137390208464,Degraded Vegetation
39,Degraded Vegetation,-0.5604654354896094,Degraded Vegetation
40,Degraded Vegetation,-0.787867111672606,Degraded Vegetation
41,Degraded Vegetation,-0.85396792422966,Degraded Vegetation
42,Degraded Vegetation,-0.5140114543895684,Degraded Vegetation
43,Degraded Vegetation,-0.4223719517735008,Degraded Vegetation
46,Degraded Vegetation,-0.945947000909278,Degraded Vegetation
47,Degraded Vegetation,-0.8603382634265326,Degraded Vegetation
48,Degraded Vegetation,-1.2174457615271903,Degraded Vegetation
49,Degraded Vegetation,-1.0621459883485982,Degraded Vegetation
50,Degraded Vegetation,-0.7774561417410436,Degraded Vegetation
51,Degraded Vegetation,-0.7709679736172598,Degraded Vegetation
52,Degraded Vegetation,-0.7025449919403358,Degraded Vegetation
53,Degraded Vegetation,-1.0397653437083003,Degraded Vegetation
54,Degraded Vegetation,-1.4525366825300006,Degraded Vegetation
55,Degraded Vegetation,-1.5991864337897317,Degraded Vegetation
56,Degraded Vegetation,-1.1007961546301646,Degraded Vegetation
57,Degraded Vegetation,-0.4005674100738601,Degraded Vegetation
58,Degraded Vegetation,-0.1520316907310981,Degraded Vegetation
59,Degraded Vegetation,-0.5045796418125078,Degraded Vegetation
60,Degraded Vegetation,-0.4948482480347843,Degraded Vegetation
61,Degraded Vegetation,-0.366788982149685,Degraded Vegetation
62,Degraded Vegetation,-0.0219859789426923,Degraded Vegetation
63,Degraded Vegetation,-0.424751638170776,Degraded Vegetation
64,Degraded Vegetation,-0.4457605616498886,Degraded Vegetation
65,Degraded Vegetation,-0.051677924623202,Degraded Vegetation
66,Degraded Vegetation,-0.7883157670128742,Degraded Vegetation
